Statistical profiling result from isolate-con-v8.log, (2432 ticks, 14 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    2.4%      Function: ^parse /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/content-type/index.js:106:16
      1  100.0%        Function: ^setCharset /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express/lib/utils.js:250:41
      1  100.0%          LazyCompile: ~send /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express/lib/response.js:107:25
      1  100.0%            Function: ^json /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express/lib/response.js:239:25
      1    2.4%      Function: ^header /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express/lib/response.js:754:29
      1  100.0%        Function: ^send /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express/lib/response.js:107:25
      1  100.0%          Function: ^json /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express/lib/response.js:239:25
      1  100.0%            Function: ^<anonymous> /Users/tepexic/Documents/GitHub/desafio-clase-12/routes/info.js:21:25
      1    2.4%      Function: ^hasbody /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/type-is/index.js:92:18
      1  100.0%        Function: ^jsonParser /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/body-parser/lib/types/json.js:98:30
      1  100.0%          LazyCompile: *next /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express/lib/router/index.js:176:16
      1  100.0%            Function: ^expressInit /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/express/lib/middleware/init.js:29:30
      1    2.4%      Function: ^Module.load node:internal/modules/cjs/loader:969:33
      1  100.0%        Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1  100.0%          Function: ^Module.require node:internal/modules/cjs/loader:997:36
      1  100.0%            Function: ^require node:internal/modules/cjs/helpers:101:31
      1    2.4%      Function: ^Module._compile node:internal/modules/cjs/loader:1055:37
      1  100.0%        Function: ^Module._extensions..js node:internal/modules/cjs/loader:1110:37
      1  100.0%          Function: ^Module.load node:internal/modules/cjs/loader:969:33
      1  100.0%            Function: ^Module._load node:internal/modules/cjs/loader:757:24
      1    2.4%      Function: ^FastBuffer node:internal/buffer:958:14
      1  100.0%        Function: ^alloc node:buffer:359:30
      1  100.0%          Function: ^serialize /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/bson/lib/bson.js:111:19
      1  100.0%            LazyCompile: ~serializeBson /Users/tepexic/Documents/GitHub/desafio-clase-12/node_modules/mongodb/lib/cmap/commands.js:530:18
     31    3.8%    Function: ^compileForInternalLoader node:internal/bootstrap/loaders:299:27
